Track,Fabio Quartararo,Francesco Bagnaia,Aleix Espargaró,Enea Bastianini,Jack Miller,Brad Binder,Johann Zarco,Jorge Martín,Maverick Viñales,Álex Rins,Miguel Oliveira,Luca Marini,Marco Bezzecchi,Joan Mir,Marc Márquez,Pol Espargaró,Takaaki Nakagami,Álex Márquez,Franco Morbidelli,Fabio Di Giannantonio,Andrea Dovizioso,Darryn Binder,Remy Gardner,Raúl Fernández,Cal Crutchlow,Michele Pirro,Lorenzo Savadori,Kazuki Watanabe,Takuya Tsuda,Tetsuta Nagashima
QAT,9,25,4,1,25,2,8,25,12,7,25,13,25,6,5,3,10,25,11,17,14,16,15,18,25,25,25,25,25,25
INA,2,15,9,11,4,8,3,25,16,5,1,14,20,6,25,12,19,13,7,18,25,10,21,17,25,25,25,25,25,25
ARG,8,5,1,10,14,6,25,2,7,3,13,11,9,4,25,25,12,15,25,25,20,18,17,16,25,25,25,25,25,25
AME,7,5,11,1,3,12,9,8,10,2,18,17,25,4,6,13,14,25,16,21,15,22,20,19,25,25,25,25,25,25
POR,1,8,3,25,25,25,2,25,10,4,5,12,15,25,6,9,16,7,13,25,11,17,14,25,25,25,25,25,25,25
SPA,2,1,3,8,5,10,25,22,14,19,12,16,9,6,4,11,7,13,15,18,17,25,20,25,25,25,21,25,25,25
FRA,4,25,3,1,2,8,5,25,10,25,25,9,12,25,6,11,7,14,15,13,16,17,25,25,25,25,25,25,25,25
ITA,2,1,3,25,15,7,4,13,12,25,9,6,5,25,10,25,8,14,17,11,20,16,19,21,25,18,22,25,25,25
CAT,1,25,5,25,14,8,3,2,7,25,9,6,25,4,25,17,25,10,13,25,25,12,11,15,25,16,25,25,25,25
GER,1,25,4,10,3,7,2,6,25,25,9,5,11,25,25,25,25,25,13,8,14,25,15,12,25,25,25,25,25,25
NED,25,1,4,11,6,5,13,7,3,10,9,17,2,8,25,25,12,15,25,14,16,25,19,25,25,25,20,25,25,25
GBR,8,1,9,4,3,11,25,5,2,7,6,12,10,25,25,14,13,17,15,22,16,20,18,21,25,25,25,25,25,25
AUT,2,1,6,25,3,7,5,10,13,8,12,4,9,25,25,16,25,14,25,11,15,25,20,18,25,25,19,25,25,25
RSM,5,1,6,2,18,8,25,9,3,7,11,4,17,25,25,25,15,10,25,20,12,16,19,13,25,25,25,21,25,25
ARA,25,2,3,1,5,4,8,6,13,9,11,7,10,25,25,15,25,12,17,19,25,18,16,20,14,25,25,25,25,25
JPN,8,25,16,9,1,2,11,3,7,25,5,6,10,25,4,12,20,13,14,17,25,25,19,18,15,25,25,25,25,25
THA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
AUS,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
MAL,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
VAL,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
