Race,Aleix Espargaró,Álex Márquez,Álex Rins,Brad Binder,Enea Bastianini,Fabio Di Giannantonio,Fabio Quartararo,Francesco Bagnaia,Franco Morbidelli,Jack Miller,Joan Mir,Johann Zarco,Jorge Martín,Luca Marini,Marc Márquez,Marco Bezzecchi,Maverick Viñales,Miguel Oliveira,Pol Espargaró,Raúl Fernández,Takaaki Nakagami
Qatar - Lusail,21,0,16,39,41,8,15,2,7,7,17,21,10,11,19,1,18,2,27,10,18
Indonesia - Mandalika,10,13,20,15,11,4,35,11,23,25,32,24,9,5,1,2,6,41,10,6,8
Argentina - Termas de Rio Hondo,40,9,28,20,13,0,13,29,1,2,24,2,29,13,0,23,15,9,12,10,9
Austin - Circuit of The Americas,12,0,38,14,44,0,14,19,6,25,24,14,23,0,18,0,16,4,3,4,3
Portugal - Portimao,24,18,51,0,0,1,44,40,15,7,9,30,3,11,18,6,16,23,10,0,2
Spain - Jerez,24,21,2,17,14,0,29,40,3,18,18,10,1,6,21,14,2,22,12,0,13
France - Le Mans,24,16,3,28,39,9,20,15,9,29,8,24,7,20,19,9,16,0,5,0,19
Italy - Mugello,28,10,0,27,1,20,33,44,12,4,0,20,5,18,12,20,28,20,2,8,11
Catalonia - Catalunya,21,36,4,23,2,6,42,9,13,2,39,25,33,18,0,3,19,21,1,19,4
Germany - Sachsenring,20,0,0,26,20,19,41,10,17,27,0,30,17,19,0,9,2,19,3,24,1
Netherlands - Assen,26,13,8,27,15,5,9,35,0,15,22,7,17,3,0,31,32,14,0,0,4
UK - Silverstone,12,0,22,13,29,1,15,39,9,24,0,10,21,5,0,14,29,27,10,2,17
Austria - Red Bull Ring,23,24,14,19,10,10,32,36,0,24,3,18,18,34,0,29,7,14,1,10,2
San Marino - Misano,18,18,19,23,33,2,20,42,0,10,0,5,18,27,0,12,24,6,0,27,15
Aaragon - Motorland Aaragon,30,14,9,26,37,1,5,30,6,20,0,18,17,30,3,10,9,5,7,2,0
Japan - Motegi,5,11,0,30,20,0,12,0,4,46,0,19,30,19,23,15,16,20,4,8,10
Thailand - Buriram,12,32,5,10,15,6,7,24,7,34,0,26,16,2,25,10,29,49,12,3,0
Australia - Phillip Island,14,0,48,18,32,0,6,24,0,3,2,23,19,16,29,25,0,28,12,10,0
Malaysia - Sepang,7,8,17,21,29,0,34,48,9,28,0,23,15,5,21,20,3,13,14,15,0
Valencia - Ricardo Tormo,1,1,43,39,21,9,20,10,18,8,22,2,26,17,9,19,10,31,0,24,22
